LocationId,Name,ParentId,Level,Active,IsDeleted,IsShow,Code,ParentName,Path
2725909277,Xã Phù Lãng,2725900000,3,1,0,1,xa phu lang,Huyện Quế Võ,root/tinhbacninh/huyenquevo/xaphulang
2725909280,Xã Phượng Mao,2725900000,3,1,0,1,xa phuong mao,Huyện Quế Võ,root/tinhbacninh/huyenquevo/xaphuongmao
2725909283,Xã Việt Hùng,2725900000,3,1,0,1,xa viet hung,Huyện Quế Võ,root/tinhbacninh/huyenquevo/xaviethung
2725909286,Xã Nam Sơn,2725900000,3,1,0,1,xa nam son,Huyện Quế Võ,root/tinhbacninh/huyenquevo/xanamson
2725909289,Xã Ngọc Xá,2725900000,3,1,0,1,xa ngoc xa,Huyện Quế Võ,root/tinhbacninh/huyenquevo/xangocxa
2725909292,Xã Châu Phong,2725900000,3,1,0,1,xa chau phong,Huyện Quế Võ,root/tinhbacninh/huyenquevo/xachauphong
2725909295,Xã Bồng Lai,2725900000,3,1,0,1,xa bong lai,Huyện Quế Võ,root/tinhbacninh/huyenquevo/xabonglai
2725909298,Xã Cách Bi,2725900000,3,1,0,1,xa cach bi,Huyện Quế Võ,root/tinhbacninh/huyenquevo/xacachbi
2725909301,Xã Đào Viên,2725900000,3,1,0,1,xa dao vien,Huyện Quế Võ,root/tinhbacninh/huyenquevo/xadaovien
2725909304,Xã Yên Giả,2725900000,3,1,0,1,xa yen gia,Huyện Quế Võ,root/tinhbacninh/huyenquevo/xayengia
2725909307,Xã Mộ Đạo,2725900000,3,1,0,1,xa mo dao,Huyện Quế Võ,root/tinhbacninh/huyenquevo/xamodao
2725909310,Xã Đức Long,2725900000,3,1,0,1,xa duc long,Huyện Quế Võ,root/tinhbacninh/huyenquevo/xaduclong
2725909313,Xã Chi Lăng,2725900000,3,1,0,1,xa chi lang,Huyện Quế Võ,root/tinhbacninh/huyenquevo/xachilang
2725909316,Xã Hán Quảng,2725900000,3,1,0,1,xa han quang,Huyện Quế Võ,root/tinhbacninh/huyenquevo/xahanquang
2726000000,Huyện Tiên Du,2700000000,2,1,0,1,huyen tien du,Tỉnh Bắc Ninh,root/tinhbacninh/huyentiendu
2726009319,Thị trấn Lim,2726000000,3,1,0,1,thi tran lim,Huyện Tiên Du,root/tinhbacninh/huyentiendu/thitranlim
2726009322,Xã Phú Lâm,2726000000,3,1,0,1,xa phu lam,Huyện Tiên Du,root/tinhbacninh/huyentiendu/xaphulam
2726009325,Xã Khắc Niệm,2726000000,3,1,0,1,xa khac niem,Huyện Tiên Du,root/tinhbacninh/huyentiendu/xakhacniem
2726009328,Xã Nội Duệ,2726000000,3,1,0,1,xa noi due,Huyện Tiên Du,root/tinhbacninh/huyentiendu/xanoidue
2726009331,Xã Hạp Lĩnh,2726000000,3,1,0,1,xa hap linh,Huyện Tiên Du,root/tinhbacninh/huyentiendu/xahaplinh
2726009334,Xã Liên Bão,2726000000,3,1,0,1,xa lien bao,Huyện Tiên Du,root/tinhbacninh/huyentiendu/xalienbao
2726009337,Xã Hiên Vân,2726000000,3,1,0,1,xa hien van,Huyện Tiên Du,root/tinhbacninh/huyentiendu/xahienvan
2726009340,Xã Hoàn Sơn,2726000000,3,1,0,1,xa hoan son,Huyện Tiên Du,root/tinhbacninh/huyentiendu/xahoanson
2726009343,Xã Lạc Vệ,2726000000,3,1,0,1,xa lac ve,Huyện Tiên Du,root/tinhbacninh/huyentiendu/xalacve
2726009346,Xã Việt Đoàn,2726000000,3,1,0,1,xa viet doan,Huyện Tiên Du,root/tinhbacninh/huyentiendu/xavietdoan
2726009349,Xã Phật Tích,2726000000,3,1,0,1,xa phat tich,Huyện Tiên Du,root/tinhbacninh/huyentiendu/xaphattich
2726009352,Xã Tân Chi,2726000000,3,1,0,1,xa tan chi,Huyện Tiên Du,root/tinhbacninh/huyentiendu/xatanchi
